symbol,date,open,high,low,close,adjusted_close,volume
GC=F,"Jun 26, 2019",1407,1410.8,1399.8,1408.4,1408.4,437
GC=F,"Jun 25, 2019",1407.2,1413.3,1405.8,1411.6,1411.6,1333
GC=F,"Jun 24, 2019",1418.1,1433.3,1414.9,1414.9,1414.9,105
GC=F,"Jun 23, 2019",1406,1420.6,1402.1,1414.3,1414.3,125
GC=F,"Jun 20, 2019",1406,1406,1390.3,1396.2,1396.2,35
GC=F,"Jun 20, 2019",1406,1406,1390.3,1396.2,1396.2,35
GC=F,"Jun 19, 2019",1381.5,1392.9,1379.5,1392.9,1392.9,76
GC=F,"Jun 18, 2019",1344,1344.6,1344,1344.6,1344.6,129
GC=F,"Jun 17, 2019",1349.3,1349.3,1341.6,1346.6,1346.6,29
GC=F,"Jun 16, 2019",1339,1340.3,1335,1338.7,1338.7,76
GC=F,"Jun 13, 2019",1345.4,1355.4,1339.3,1340.1,1340.1,914
GC=F,"Jun 12, 2019",1331.6,1341.1,1331.6,1339.2,1339.2,157
GC=F,"Jun 11, 2019",1326.9,1334.5,1326.9,1331.9,1331.9,139
GC=F,"Jun 10, 2019",1328.4,1328.4,1319.1,1326.4,1326.4,201
GC=F,"Jun 09, 2019",1335.8,1336.5,1324.1,1324.7,1324.7,268
GC=F,"Jun 07, 2019",1333a.1,1asd347.7,1329.8,1341.2,13see41.2,240
GC=F,"Jun 06, 2019",1333.1,1347.7,1329.8,1341.2,1341.2,240
GC=F,"Jun 05, 2019",1330.8,1338.7,1326.2,1337.6,1337.6,161
GC=F,"Jun 04, 2019",1328.9,1343.3,1326.3,1328.3,1328.3,622
GC=F,"Jun 03, 2019",1324.3,1328.6,1320.8,1323.4,1323.4,302
GC=F,"Jun 02, 2019",1307,1327.8,1307,1322.7,1322.7,812
GC=F,"May 30, 2019",1287.7,1306.4,1287.5,1305.8,1305.8,2814
GC=F,"May 29, 2019",1279.4,1288.3,1273.9,1287.1,1287.1,55573
GC=F,"May 28, 2019",1280.6,1280.6,1280.6,1280.6,1280.6,189694
GC=F,"May 27, 2019",1276.5,1276.5,1276.5,1276.5,1276.5,-
GC=F,"May 24, 2019",12083,12283,15283,13283,112283,9
GC=F,"May 23, 2019",1283,1283,1283,1283,1283,9
GC=F,"May 22, 2019",1284.8,1284.8,1284.8,1284.8,1284.8,-
GC=F,"May 21, 2019",1273.6,1273.6,1273.6,1273.6,1273.6,-
GC=F,"May 20, 2019",1272,1272,1272,1272,1272,-
GC=F,"May 19, 2019",1276.1,1276.1,1276.1,1276.1,1276.1,20
GC=F,"May 16, 2019",1280,1280,1274.5,1274.5,1274.5,1
GC=F,"May 15, 2019",1285.2,1285.4,1285,1285,1285,3
GC=F,"May 14, 2019",1296.9,1296.9,1296,1296.3,1296.3,55
GC=F,"May 13, 2019",1297.8,1297.8,1294.7,1294.7,1294.7,6
GC=F,"May 12, 2019",1286.7,1300.1,1281.8,1300.1,1300.1,56
GC=F,"May 09, 2019",1285.4,1286.5,1283.3,1285.7,1285.7,6
GC=F,"May 09, 2019",1285.4,1286.5,1283.3,1285.7,1285.7,6
GC=F,"May 08, 2019",1278.9,1285,1278.8,1283.5,1283.5,38
GC=F,"May 07, 2019",1279.4,1279.4,1279.4,1279.4,1279.4,5
GC=F,"May 06, 2019",1280.5,1283.5,1280.5,1283.5,1283.5,8
GC=F,"May 05, 2019",1282.2,1282.2,1280.3,1281.7,1281.7,12
GC=F,"May 02, 2019",1270.1,1279.2,1270.1,1279.2,1279.2,15
GC=F,"May 01, 2019",1269.2,1270.8,1266.6,1269.7,1269.7,63
GC=F,"Apr 30, 2019",1278.7,1283.3,1278.7,1281.4,1281.4,70
GC=F,"Apr 29, 2019",1281.7,1283.3,1280.8,1282.8,1282.8,114
GC=F,"Apr 28, 2019",1284.8,1284.9,1277.1,1278.6,1278.6,568
GC=F,"Apr 26, 2019",-,1284.9,NULL,1284.9,-,804
GC=F,"Apr 25, 2019",1284.9,1284.9,1284.9,1284.9,1284.9,804
GC=F,"Apr 24, 2019",1280.6,1280.8,1275.8,1275.8,1275.8,95
GC=F,"Apr 23, 2019",1268.4,1275.5,1267.8,1275.5,1275.5,518
GC=F,"Apr 22, 2019",1266.4,1269.8,1266,1269.3,1269.3,206
GC=F,"Apr 21, 2019",1273.5,1273.5,1273.5,1273.5,1273.5,147
ABC,"Apr 17, 2019",1270.8,1273.6,1270.1,1271.9,1271.9,27
GC=F,"Apr 17, 2019",1270.8,1273.6,1270.1,1271.9,1271.9,27
GC=F,"Apr 16, 2019",1273.5,1273.5,1271.6,1272.2,1272.2,308
GC=F,"Apr 15, 2019",1285.2,1285.2,1272.2,1272.6,1272.6,643
GC=F,"Apr 14, 2019",1284.8,1287.3,1282.3,1286.8,1286.8,523
GC=F,"Apr 11, 2019",1293.4,1293.4,1289.2,1290.6,1290.6,607
GC=F,"Apr 10, 2019",1307,1307.1,1288.6,1288.6,1288.6,420
GC=F,"Apr 09, 2019",1304,1309.1,1301.5,1309.1,1309.1,66
GC=F,"Apr 08, 2019",1298.5,1304.9,1298.5,1303.5,1303.5,30
GC=F,"Apr 07, 2019",1292.2,1302.1,1291.8,1297.1,1297.1,63
GC=F,"Apr 07, 2019",1292.2,1302.1,1291.8,1297.1,1297.1,63
GC=F,"Apr 04, 2019",1292,1292,1283.6,1290.4,1290.4,181
