date,value
4/1/2016, 26103
5/1/2016, 26621
6/1/2016, 23929
7/1/2016, 24021
8/1/2016, 27363
9/1/2016, 25751
10/1/2016, 28230
11/1/2016, 29630
12/1/2016, 28064
13/1/2016, 25543
14/1/2016, 25283
15/1/2016, 27181
16/1/2016, 27923
17/1/2016, 29153
18/1/2016, 24986
19/1/2016, 27889
20/1/2016, 23050
21/1/2016, 25424
22/1/2016, 25239
23/1/2016, 28499
24/1/2016, 27169
25/1/2016, 28753
26/1/2016, 30726
27/1/2016, 24902
28/1/2016, 28161
29/1/2016, 28270
1/2/2016, 25668
2/2/2016, 27957
3/2/2016, 31442
4/2/2016, 30294
5/2/2016, 28045
6/2/2016, 24747
7/2/2016, 29486
8/2/2016, 27850
9/2/2016, 28142
10/2/2016, 30719
11/2/2016, 29704
12/2/2016, 28068
13/2/2016, 28299
14/2/2016, 28751
15/2/2016, 30661
16/2/2016, 33113
17/2/2016, 30033
18/2/2016, 25976
19/2/2016, 27011
20/2/2016, 22064
21/2/2016, 25353
22/2/2016, 25184
23/2/2016, 23845
24/2/2016, 22710
25/2/2016, 22593
26/2/2016, 20187
27/2/2016, 19044
28/2/2016, 23045
29/2/2016, 31699
30/2/2016, 35672
31/2/2016, 24191
1/3/2016, 24472
2/3/2016, 21507
3/3/2016, 21378
4/3/2016, 24516
5/3/2016, 26914
6/3/2016, 23270
7/3/2016, 23407
8/3/2016, 24554
9/3/2016, 19399
10/3/2016, 19193
11/3/2016, 23919
12/3/2016, 23252
13/3/2016, 23243
14/3/2016, 24938
15/3/2016, 27593
16/3/2016, 20857
17/3/2016, 19395
18/3/2016, 21989
19/3/2016, 22642
20/3/2016, 22973
21/3/2016, 23282
22/3/2016, 24241
23/3/2016, 25236
24/3/2016, 30727
25/3/2016, 28861
26/3/2016, 26206
27/3/2016, 28009
28/3/2016, 26142
29/3/2016, 26067
30/3/2016, 22785
1/4/2016, 22113
2/4/2016, 44092
3/4/2016, 34902
4/4/2016, 28567
5/4/2016, 27508
6/4/2016, 24738
7/4/2016, 21334
8/4/2016, 20478
9/4/2016, 23092
10/4/2016, 23402
11/4/2016, 21597
12/4/2016, 22343
13/4/2016, 23638
14/4/2016, 19355
15/4/2016, 19527
16/4/2016, 21419
17/4/2016, 21242
18/4/2016, 21130
19/4/2016, 21055
20/4/2016, 21015
21/4/2016, 18208
22/4/2016, 20846
23/4/2016, 25025
24/4/2016, 25558
25/4/2016, 25514
26/4/2016, 25096
27/4/2016, 22418
28/4/2016, 20785
29/4/2016, 21179
30/4/2016, 23116
31/4/2016, 22168
1/5/2016, 24322
2/5/2016, 25664
3/5/2016, 25989
4/5/2016, 22507
5/5/2016, 24256
6/5/2016, 25168
7/5/2016, 25479
8/5/2016, 25213
9/5/2016, 23455
10/5/2016, 23436
11/5/2016, 20546
12/5/2016, 25917
13/5/2016, 27242
14/5/2016, 23970
15/5/2016, 24561
16/5/2016, 26795
17/5/2016, 26724
18/5/2016, 20862
19/5/2016, 20799
20/5/2016, 27198
21/5/2016, 27064
22/5/2016, 25119
23/5/2016, 24183
24/5/2016, 26403
25/5/2016, 20205
26/5/2016, 20500
27/5/2016, 23913
28/5/2016, 23816
29/5/2016, 23872
30/5/2016, 23132
1/6/2016, 23027
2/6/2016, 23595
3/6/2016, 20287
4/6/2016, 21181
5/6/2016, 22046
6/6/2016, 23770
7/6/2016, 23909
8/6/2016, 23469
9/6/2016, 25041
10/6/2016, 20364
11/6/2016, 22699
12/6/2016, 22223
13/6/2016, 22998
14/6/2016, 21544
15/6/2016, 20434
16/6/2016, 18987
17/6/2016, 19456
18/6/2016, 21330
19/6/2016, 23226
20/6/2016, 22621
21/6/2016, 20837
22/6/2016, 20712
23/6/2016, 18351
24/6/2016, 18766
25/6/2016, 22664
26/6/2016, 23499
27/6/2016, 21902
28/6/2016, 23727
29/6/2016, 20354
30/6/2016, 17310
31/6/2016, 17590
1/7/2016, 22021
2/7/2016, 27947
3/7/2016, 33437
4/7/2016, 25150
5/7/2016, 25115
6/7/2016, 20484
7/7/2016, 20769
8/7/2016, 24232
9/7/2016, 24435
10/7/2016, 30224
11/7/2016, 23497
12/7/2016, 25008
13/7/2016, 21026
14/7/2016, 24566
15/7/2016, 25180
16/7/2016, 23549
17/7/2016, 22643
18/7/2016, 20849
19/7/2016, 18562
20/7/2016, 14687
21/7/2016, 14412
22/7/2016, 18821
23/7/2016, 18812
24/7/2016, 19302
25/7/2016, 20127
26/7/2016, 19606
27/7/2016, 15956
28/7/2016, 17112
29/7/2016, 22110
30/7/2016, 18322
31/7/2016, 17456
1/8/2016, 18373
2/8/2016, 20605
3/8/2016, 16664
4/8/2016, 16972
5/8/2016, 23183
6/8/2016, 35065
