name,date,market_cap,volume,open,close
Bitcoin,2020-02-06,"
$174,596,806,174
","
$65,675,565,621
","
$9,592.18
","
$9,744.64
"
Bitcoin,2020-02-05,"
$167,075,369,075
","
$55,377,658,456
","
$9,179.96
","
$9,592.18
"
Bitcoin,2020-02-04,"
$169,406,963,183
","
$56,824,765,308
","
$9,308.91
","
$9,179.96
"
Bitcoin,2020-02-03,"
$169,926,610,304
","
$55,025,402,184
","
$9,338.42
","
$9,308.91
"
Bitcoin,2020-02-02,"
$170,361,167,834
","
$48,307,978,234
","
$9,363.22
","
$9,338.42
"
Bitcoin,2020-02-01,"
$169,340,144,566
","
$50,102,814,006
","
$9,308.06
","
$9,363.22
"
Bitcoin,2020-01-31,"
$172,993,102,966
","
$51,037,775,415
","
$9,509.81
","
$9,308.06
"
Bitcoin,2020-01-30,"
$168,738,228,802
","
$47,273,353,144
","
$9,276.89
","
$9,509.81
 "
Bitcoin,2020-01-29,"
$169,518,428,145
","
$49,812,761,504
","
$9,320.81
","
$9,276.89
"
Bitcoin,2020-01-28,"
$161,473,602,737
","
$39,661,537,340
","
$8,879.34
","
$9,320.81
"
Bitcoin,2020-01-27,"
$156,302,144,661
","
$30,241,155,463
","
$8,595.73
","
$8,879.34
"
Bitcoin,2020-01-26,"
$151,794,495,723
","
$26,582,198,966
","
$8,348.67
","
$8,595.73
"
Bitcoin,2020-01-25,"
$153,294,353,937
","
$30,691,734,305
","
$8,432.10
","
$8,348.67
"
Bitcoin,2020-01-24,"
$152,984,928,859
","
$30,696,020,541
","
$8,415.96
","
$8,432.10
"
Bitcoin,2020-01-23,"
$157,502,652,064
","
$25,628,542,095
","
$8,665.44
","
$8,415.96
"
Bitcoin,2020-01-22,"
$158,564,958,351
","
$27,057,681,780
","
$8,724.82
","
$8,665.44
"
Bitcoin,2020-01-21,"
$156,848,009,984
","
$29,527,689,343
","
$8,631.25
","
$8,724.82
"
Bitcoin,2020-01-20,"
$157,906,057,309
","
$39,242,297,096
","
$8,690.38
","
$8,631.25
"
Bitcoin,2020-01-19,"
$161,823,609,428
","
$36,801,813,632
","
$8,906.90
","
$8,690.38
"
Bitcoin,2020-01-18,"
$161,848,747,742
","
$41,671,910,798
","
$8,902.57
","
$8,906.90
"
Bitcoin,2020-01-17,"
$158,412,991,118
","
$36,462,155,571
","
$8,720.92
","
$8,902.57
"
Bitcoin,2020-01-16,"
$159,960,761,752
","
$48,160,401,007
","
$8,820.85
","
$8,720.92
"
Bitcoin,2020-01-15,"
$159,481,192,214
","
$55,384,169,406
","
$8,801.87
","
$8,820.85
"
Bitcoin,2020-01-14,"
$147,446,058,196
","
$27,962,176,781
","
$8,110.65
","
$8,801.87
"
Bitcoin,2020-01-13,"
$148,204,228,775
","
$27,533,390,876
","
$8,171.40
","
$8,110.65
"
Bitcoin,2020-01-12,"
$145,561,586,659
","
$31,504,583,511
","
$8,012.09
","
$8,171.40
"
