,0,1,2,3,4,5
0,Name,Date,Market Cap,Volume,Open,Close
130,Bitcoin,2021-06-25,650340461976.0,31862051544.0,34675.0,31943.0
131,Bitcoin,2021-06-24,631634847766.0,39798236962.0,33703.0,34675.0
132,Bitcoin,2021-06-23,606580031923.0,57443014758.0,32508.0,33703.0
133,Bitcoin,2021-06-22,598335733136.0,51873870277.0,31712.0,32508.0
134,Bitcoin,2021-06-21,670634370557.0,35609127164.0,35787.0,31712.0
135,Bitcoin,2021-06-20,666901325910.0,28858979692.0,35582.0,35787.0
136,Bitcoin,2021-06-19,673761687974.0,35162612173.0,35881.0,35582.0
137,Bitcoin,2021-06-18,715652442155.0,36330237284.0,38194.0,35881.0
138,Bitcoin,2021-06-17,718016373177.0,36563438890.0,38321.0,38194.0
139,Bitcoin,2021-06-16,756522207420.0,36706248352.0,40378.0,38321.0
140,Bitcoin,2021-06-15,761104314502.0,45836408439.0,40625.0,40378.0
141,Bitcoin,2021-06-14,733402631079.0,38185633278.0,39148.0,40625.0
142,Bitcoin,2021-06-13,668148892256.0,35710196743.0,35666.0,39148.0
143,Bitcoin,2021-06-12,698528023664.0,36358044263.0,37289.0,35666.0
144,Bitcoin,2021-06-11,691681868464.0,42952476855.0,36903.0,37289.0
145,Bitcoin,2021-06-10,705292677171.0,54511387836.0,37554.0,36903.0
146,Bitcoin,2021-06-09,629018966290.0,46727462986.0,33557.0,37554.0
147,Bitcoin,2021-06-08,626527049948.0,33345528753.0,33451.0,33557.0
148,Bitcoin,2021-06-07,671131079524.0,27689283071.0,35834.0,33451.0
149,Bitcoin,2021-06-06,662913486273.0,34068172836.0,35547.0,35834.0
150,Bitcoin,2021-06-05,691747462828.0,39345490149.0,36939.0,35547.0
151,Bitcoin,2021-06-04,733150718114.0,33396718845.0,39151.0,36939.0
152,Bitcoin,2021-06-03,704531333543.0,31240691604.0,37686.0,39151.0
153,Bitcoin,2021-06-02,688726381047.0,33536905028.0,36680.0,37686.0
154,Bitcoin,2021-06-01,699138611681.0,37950798680.0,37341.0,36680.0
155,Bitcoin,2021-05-31,668664301774.0,30650274658.0,35715.0,37341.0
156,Bitcoin,2021-05-30,654239808357.0,43184025045.0,34775.0,35715.0
157,Bitcoin,2021-05-29,668521654365.0,49991590068.0,35710.0,34775.0
158,Bitcoin,2021-05-28,723137484747.0,40836817156.0,38643.0,35710.0
159,Bitcoin,2021-05-27,737668726732.0,47026386118.0,39407.0,38643.0
160,Bitcoin,2021-05-26,715248689990.0,48724794158.0,38211.0,39407.0
161,Bitcoin,2021-05-25,723143072420.0,71163197727.0,38642.0,38211.0
162,Bitcoin,2021-05-24,654558962028.0,84358034876.0,34978.0,38642.0
163,Bitcoin,2021-05-23,702143968884.0,61178935274.0,37520.0,34978.0
164,Bitcoin,2021-05-22,698762712554.0,88706010988.0,37340.0,37520.0
165,Bitcoin,2021-05-21,759679496751.0,95001812131.0,40438.0,37340.0
166,Bitcoin,2021-05-20,697785056488.0,141151477375.0,37287.0,40438.0
167,Bitcoin,2021-05-19,800545278568.0,65037066859.0,43091.0,37287.0
168,Bitcoin,2021-05-18,819256623329.0,84054878924.0,43781.0,43091.0
169,Bitcoin,2021-05-17,871695620616.0,70636455914.0,46585.0,43781.0
170,Bitcoin,2021-05-16,875321252276.0,62896879696.0,46781.0,46585.0
171,Bitcoin,2021-05-15,935962705739.0,56820196965.0,49913.0,46781.0
172,Bitcoin,2021-05-14,934964766186.0,104203551168.0,49973.0,49913.0
173,Bitcoin,2021-05-13,935512493151.0,75523928654.0,50005.0,49973.0
174,Bitcoin,2021-05-12,1064993057464.0,67726708141.0,56929.0,50005.0
175,Bitcoin,2021-05-11,1045714370754.0,76672978748.0,55902.0,56929.0
176,Bitcoin,2021-05-10,1088903483393.0,67906284081.0,58214.0,55902.0
177,Bitcoin,2021-05-09,1099271802311.0,66812167538.0,58772.0,58214.0
178,Bitcoin,2021-05-08,1072831991777.0,68154805947.0,57362.0,58772.0
179,Bitcoin,2021-05-07,1056801053575.0,87510802711.0,56508.0,57362.0
180,Bitcoin,2021-05-06,1070969079354.0,72158368258.0,57432.0,56508.0
181,Bitcoin,2021-05-05,999775008412.0,71296763919.0,53464.0,57432.0
182,Bitcoin,2021-05-04,1069571255196.0,54132470274.0,57200.0,53464.0
183,Bitcoin,2021-05-03,1057850321949.0,39072664394.0,56601.0,57200.0
184,Bitcoin,2021-05-02,1080897634123.0,43967070046.0,57813.0,56601.0
185,Bitcoin,2021-05-01,1082721727348.0,53879045974.0,57829.0,57813.0
186,Bitcoin,2021-04-30,1001973C605935.0,46958036373.0,53597.0,57829.0
187,Bitcoin,2021-04-29,1024625833392.0,48072930663.0,54811.0,53597.0
188,Bitcoin,2021-04-28,1027617870422.0,48468560013.0,54992.0,54811.0
189,Bitcoin,2021-04-27,1008389773190.0,60226926860.0,53979.0,54992.0
190,Bitcoin,2021-04-26,915533819859.0,46233432154.0,48981.0,53979.0
191,Bitcoin,2021-04-25,937014999515.0,49296256746.0,50133.0,48981.0
192,Bitcoin,2021-04-24,956744203682.0,91138220375.0,51191.0,50133.0
193,Bitcoin,2021-04-23,971174701493.0,77897442832.0,51966.0,51191.0
194,Bitcoin,2021-04-22,1012699264346.0,56115370322.0,54190.0,51966.0
195,Bitcoin,2021-04-21,1055145534127.0,68166802216.0,56295.0,54190.0
196,Bitcoin,2021-04-20,1043148020633.0,66156275210.0,55721.0,56295.0
