date,name,market_cap,perc_market_cap,volume,perc_volume,open,perc_open,close,perc_close,gain_loss,time_stamps
2019-08-06,Bitcoin,210831100252.0,0.07801,30944497414.0,0.3361,11818.53,0.07916,11510.16,-0.02609,-308.37,2021-12-07
2019-08-05,Bitcoin,195575205442.0,0.01514,23160251365.0,0.03875,10951.59,0.01486,11818.53,0.07916,866.94,2021-12-07
2019-08-04,Bitcoin,192658484290.0,0.02481,22296222953.0,-0.07596,10791.2,0.02489,10951.59,0.01486,160.39,2021-12-07
2019-08-03,Bitcoin,187993708173.0,0.01604,24128945575.0,0.01947,10529.17,0.0162,10791.2,0.02489,262.03,2021-12-07
2019-08-02,Bitcoin,185025579625.0,0.03064,23668036460.0,0.03096,10361.31,0.02964,10529.17,0.0162,167.86,2021-12-07
2019-08-01,Bitcoin,179525433372.0,0.05114,22957330876.0,0.13996,10063.0,0.05169,10361.31,0.02964,298.31,2021-12-07
2019-07-31,Bitcoin,170790961771.0,0.00912,20138691741.0,0.09306,9568.44,0.00608,10063.0,0.05169,494.56,2021-12-07
2019-07-30,Bitcoin,169247002246.0,-0.00633,18424113910.0,-0.01207,9510.59,-0.00253,9568.44,0.00608,57.85,2021-12-07
2019-07-29,Bitcoin,170325673262.0,0.011,18649152593.0,-0.12271,9534.76,0.00922,9510.59,-0.00253,-24.17,2021-12-07
2019-07-28,Bitcoin,168472890624.0,-0.04077,21257664351.0,0.06597,9447.68,-0.04046,9534.76,0.00922,87.08,2021-12-07
2019-07-27,Bitcoin,175634298897.0,-0.0053,19942172081.0,-0.07771,9846.0,-0.00326,9447.68,-0.04046,-398.32,2021-12-07
2019-07-26,Bitcoin,176569486288.0,0.00725,21622492404.0,-0.36143,9878.23,0.00805,9846.0,-0.00326,-32.23,2021-12-07
2019-07-25,Bitcoin,175298806838.0,-0.00995,33861034799.0,0.47308,9799.31,-0.01379,9878.23,0.00805,78.92,2021-12-07
2019-07-24,Bitcoin,177060329754.0,-0.04075,22986552398.0,0.04944,9936.38,-0.03934,9799.31,-0.01379,-137.07,2021-12-07
2019-07-23,Bitcoin,184582963699.0,-0.02493,21903683695.0,-0.03993,10343.32,-0.0249,9936.38,-0.03934,-406.94,2021-12-07
2019-07-22,Bitcoin,189302289398.0,-0.00806,22814710058.0,-0.12801,10607.46,-0.01548,10343.32,-0.0249,-264.14,2021-12-07
2019-07-21,Bitcoin,190839615019.0,0.01662,26163874235.0,-0.09338,10774.28,0.02256,10607.46,-0.01548,-166.82,2021-12-07
2019-07-20,Bitcoin,187718958961.0,-0.00986,28858600368.0,-0.15209,10536.57,-0.00936,10774.28,0.02256,237.71,2021-12-07
2019-07-19,Bitcoin,189588944050.0,0.10075,34034952895.0,0.0212,10636.16,0.10136,10536.57,-0.00936,-99.59,2021-12-07
2019-07-18,Bitcoin,172236725014.0,0.01256,33328381505.0,-0.03143,9657.3,0.01242,10636.16,0.10136,978.86,2021-12-07
2019-07-17,Bitcoin,170100385848.0,-0.1287,34409824869.0,-0.0837,9538.83,-0.12579,9657.3,0.01242,118.47,2021-12-07
2019-07-16,Bitcoin,195225460386.0,0.06526,37553147017.0,0.25774,10911.35,0.06085,9538.83,-0.12579,-1372.52,2021-12-07
2019-07-15,Bitcoin,183265698057.0,-0.09712,29857566851.0,0.04818,10285.46,-0.09923,10911.35,0.06085,625.89,2021-12-07
2019-07-14,Bitcoin,202979011731.0,-0.0337,28485045772.0,-0.05298,11418.51,-0.0327,10285.46,-0.09923,-1133.05,2021-12-07
2019-07-13,Bitcoin,210058300504.0,0.03864,30078548880.0,-0.18842,11804.56,0.03685,11418.51,-0.0327,-386.05,2021-12-07
2019-07-12,Bitcoin,202244103401.0,-0.06765,37061858273.0,-0.121,11385.06,-0.06422,11804.56,0.03685,419.5,2021-12-07
2019-07-11,Bitcoin,216918064310.0,-0.02763,42163626088.0,0.17495,12166.4,-0.03012,11385.06,-0.06422,-781.34,2021-12-07
2019-07-10,Bitcoin,223082925043.0,0.02374,35885342263.0,0.16068,12544.17,0.02316,12166.4,-0.03012,-377.77,2021-12-07
2019-07-09,Bitcoin,217909027168.0,0.07112,30917398836.0,0.19702,12260.28,0.07204,12544.17,0.02316,283.89,2021-12-07
2019-07-08,Bitcoin,203441013270.0,0.0122,25828700447.0,-0.07798,11436.43,0.01391,12260.28,0.07204,823.85,2021-12-07
2019-07-07,Bitcoin,200989208003.0,0.028,28013279881.0,-0.10641,11279.48,0.0266,11436.43,0.01391,156.95,2021-12-07
2019-07-06,Bitcoin,195514947598.0,-0.02179,31349147297.0,-0.03503,10987.25,-0.02158,11279.48,0.0266,292.23,2021-12-07
2019-07-05,Bitcoin,199869428147.0,-0.06226,32487315000.0,-0.18669,11229.61,-0.0623,10987.25,-0.02158,-242.36,2021-12-07
2019-07-04,Bitcoin,213139916542.0,0.1116,39944515602.0,0.01731,11975.64,0.10652,11229.61,-0.0623,-746.03,2021-12-07
2019-07-03,Bitcoin,191741802294.0,0.0141,39264695559.0,0.04808,10822.76,0.01727,11975.64,0.10652,1152.88,2021-12-07
2019-07-02,Bitcoin,189075622551.0,-0.0239,37463414437.0,0.07283,10639.05,-0.02287,10822.76,0.01727,183.71,2021-12-07
2019-07-01,Bitcoin,193705059814.0,-0.09068,34920211165.0,-0.07434,10888.1,-0.09058,10639.05,-0.02287,-249.05,2021-12-07
2019-06-30,Bitcoin,213020899675.0,-0.0304,37724824507.0,-0.15928,11972.56,-0.03073,10888.1,-0.09058,-1084.46,2021-12-07
2019-06-29,Bitcoin,219700496726.0,0.1051,44872003181.0,-0.09584,12352.2,0.10498,11972.56,-0.03073,-379.64,2021-12-07
2019-06-28,Bitcoin,198805331512.0,-0.13976,49628524363.0,-0.12854,11178.68,-0.13984,12352.2,0.10498,1173.52,2021-12-07
2019-06-27,Bitcoin,231104555835.0,0.10099,56948964491.0,0.69772,12996.12,0.10058,11178.68,-0.13984,-1817.44,2021-12-07
