date,count,percent_change,asset,source,created_ts
2014-10-22,20348.0,-0.09560424907773679,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-23,21036.0,0.033811676823275016,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-24,11147.0,-0.4700988781137099,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-25,22449.0,1.0139050865703778,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-26,20090.0,-0.1050826317430621,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-27,21632.0,0.07675460428073677,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-28,20173.0,-0.06744637573964496,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-29,22081.0,0.09458186685173242,BTC,Twitter,2021-12-01 12:44:56.037479
2014-10-30,22855.0,0.035052760291653495,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-01,30263.0,,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-02,21408.0,-0.2926015266166606,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-03,26060.0,0.21730194319880414,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-04,20992.0,-0.1944742900997698,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-05,20871.0,-0.005764100609756073,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-06,24348.0,0.16659479660773324,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-07,24244.0,-0.0042713980614423885,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-08,18964.0,-0.21778584392014522,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-09,18949.0,-0.0007909723686986281,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-10,22516.0,0.18824212359491277,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-11,23156.0,0.028424231657488086,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-12,25601.0,0.1055881844878217,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-13,26798.0,0.04675598609429321,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-14,23449.0,-0.12497201283677883,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-15,21104.0,-0.10000426457418232,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-16,21652.0,0.02596664139499616,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-17,25728.0,0.18825050803620913,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-18,28238.0,0.09755907960199006,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-19,25117.0,-0.11052482470429914,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-20,23707.0,-0.056137277541107644,BTC,Twitter,2021-12-01 12:44:56.037479
2014-11-21,24577.0,0.03669802168135994,BTC,Twitter,2021-12-01 12:44:56.037479
