date,open,high,low,close,adjusted_close,volume,percent_change,name,source
2019-03-07,56.2,56.99,56.08,56.66,56.66,628824.0,0.00782639630024895,Oil,Yahoo Finance
2019-03-08,56.43,56.51,54.52,56.07,56.07,747358.0,-0.010412989763501579,Oil,Yahoo Finance
2019-03-09,56.43,56.51,54.52,56.07,56.07,747358.0,0.0,Oil,Yahoo Finance
2019-03-10,56.07,57.01,55.96,56.79,56.79,597156.0,0.01284109149277679,Oil,Yahoo Finance
2019-03-11,56.76,57.55,56.74,56.87,56.87,652798.0,0.0014086987145622842,Oil,Yahoo Finance
2019-03-12,57.09,58.48,57.01,58.26,58.26,610616.0,0.024441709161244995,Oil,Yahoo Finance
2019-03-13,58.35,58.74,58.0,58.61,58.61,567604.0,0.006007552351527723,Oil,Yahoo Finance
2019-03-14,58.51,58.95,57.74,58.52,58.52,507393.0,-0.0015355741341067652,Oil,Yahoo Finance
2019-03-15,58.51,58.95,57.74,58.52,58.52,507393.0,0.0,Oil,Yahoo Finance
2019-03-16,58.51,58.95,57.74,58.52,58.52,507393.0,0.0,Oil,Yahoo Finance
2019-03-17,58.45,59.23,58.05,59.09,59.09,157241.0,0.009740259740259827,Oil,Yahoo Finance
2019-03-18,59.01,59.57,58.62,59.03,59.03,114822.0,-0.0010154002369268111,Oil,Yahoo Finance
2019-03-19,59.02,60.12,58.39,59.83,59.83,786342.0,0.01355243096730474,Oil,Yahoo Finance
2019-03-20,59.99,60.39,59.66,59.98,59.98,655380.0,0.002507103459802762,Oil,Yahoo Finance
2019-03-21,59.87,60.07,58.28,59.04,59.04,738840.0,-0.015671890630210017,Oil,Yahoo Finance
2019-03-22,59.87,60.07,58.28,59.04,59.04,738840.0,0.0,Oil,Yahoo Finance
2019-03-23,59.87,60.07,58.28,59.04,59.04,738840.0,0.0,Oil,Yahoo Finance
2019-03-24,58.98,59.35,58.17,58.82,58.82,705399.0,-0.0037262872628726074,Oil,Yahoo Finance
