,Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
48,^IXIC,"Oct 22, 2020","11,526.97","11,548.77","11,369.29","11,506.01","11,506.01","3,414,590,000"
49,^IXIC,"Oct 21, 2020","11,530.39","11,613.79","11,476.08","11,484.69","11,484.69","3,445,520,000"
50,^IXIC,"Oct 20, 2020","11,531.83","11,632.89","11,471.23","11,516.49","11,516.49","3,483,200,000"
51,^IXIC,"Oct 19, 2020","11,732.34","11,778.11","11,454.57","11,478.88","11,478.88","3,455,430,000"
52,^IXIC,"Oct 16, 2020","11,761.83","11,827.42","11,648.53","11,671.56","11,671.56","3,156,270,000"
53,^IXIC,"Oct 15, 2020","11,559.88","11,740.68","11,559.10","11,713.87","11,713.87","3,304,490,000"
54,^IXIC,"Oct 14, 2020","11,889.07","11,939.92","11,714.35","11,768.73","11,768.73","3,393,010,000"
55,^IXIC,"Oct 13, 2020","11,901.76","11,946.98","11,821.83","11,863.90","11,863.90","3,607,730,000"
56,^IXIC,"Oct 12, 2020","11,732.33","11,965.54","11,704.13","11,876.26","11,876.26","3,862,990,000"
57,^IXIC,"Oct 09, 2020","11,487.60","11,581.23","11,476.66","11,579.94","11,579.94","3,475,620,000"
58,^IXIC,"Oct 08, 2020","11,443.35","11,448.23","11,384.33","11,420.98","11,420.98","3,486,530,000"
59,^IXIC,"Oct 07, 2020","11,271.68","11,380.56","11,258.35","11,364.60","11,364.60","3,891,460,000"
60,^IXIC,"Oct 06, 2020","11,314.53","11,392.41","11,124.45","11,154.60","11,154.60","4,360,550,000"
61,^IXIC,"Oct 05, 2020","11,169.11","11,335.21","11,162.52","11,332.49","11,332.49","3,597,940,000"
62,^IXIC,"Oct 02, 2020","11,082.53","11,244.87","11,033.69","11,075.02","11,075.02","3,715,090,000"
63,^IXIC,"Oct 01, 2020","11,291.99","11,344.13","11,240.53","11,326.51","11,326.51","3,978,100,000"
64,^IXIC,"Sep 30, 2020","11,092.90","11,277.96","11,092.90","11,167.51","11,167.51","4,228,200,000"
65,^IXIC,"Sep 29, 2020","11,109.00","11,153.23","11,065.63","11,085.25","11,085.25","3,363,870,000"
66,^IXIC,"Sep 28, 2020","11,084.38","11,120.79","11,019.14","11,117.53","11,117.53","3,562,900,000"
