,Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
26,GCZ21.CMX,"Nov 23, 2020","1,894.40","1,894.40","1,851.00","1,860.10","1,860.10",757
27,GCZ21.CMX,"Nov 20, 2020","1,886.50","1,899.90","1,886.20","1,893.70","1,893.70",202
28,GCZ21.CMX,"Nov 19, 2020","1,890.00","1,890.00","1,876.10","1,882.70","1,882.70",424
29,GCZ21.CMX,"Nov 18, 2020","1,900.10","1,901.70","1,888.90","1,894.50","1,894.50",405
30,GCZ21.CMX,"Nov 17, 2020","1,910.70","1,913.30","1,907.40","1,908.10","1,908.10",627
31,GCZ21.CMX,"Nov 16, 2020","1,913.50","1,921.50","1,890.00","1,911.80","1,911.80",720
32,GCZ21.CMX,"Nov 13, 2020","1,902.00","1,919.60","1,902.00","1,912.70","1,912.70",335
33,GCZ21.CMX,"Nov 12, 2020","1,894.00","1,908.00","1,891.20","1,899.80","1,899.80",239
34,GCZ21.CMX,"Nov 11, 2020","1,904.50","1,905.40","1,883.40","1,887.20","1,887.20",696
35,GCZ21.CMX,"Nov 10, 2020","1,899.40","1,913.30","1,898.00","1,903.30","1,903.30",277
36,GCZ21.CMX,"Nov 09, 2020","1,985.90","1,990.60","1,875.00","1,880.80","1,880.80",623
37,GCZ21.CMX,"Nov 06, 2020","1,972.60","1,987.30","1,966.00","1,979.20","1,979.20",179
38,GCZ21.CMX,"Nov 05, 2020","1,931.90","1,980.00","1,931.90","1,973.40","1,973.40",249
39,GCZ21.CMX,"Nov 04, 2020","1,934.50","1,934.50","1,915.50","1,922.10","1,922.10",340
40,GCZ21.CMX,"Nov 03, 2020","1,920.30","1,936.70","1,920.30","1,935.70","1,935.70",204
41,GCZ21.CMX,"Nov 02, 2020","1,902.50","1,921.50","1,902.50","1,918.10","1,918.10",151
42,GCZ21.CMX,"Oct 29, 2020","1,900.10","1,908.40","1,893.60","1,905.30","1,905.30",393
43,GCZ21.CMX,"Oct 28, 2020","1,907.60","1,908.60","1,885.70","1,893.90","1,893.90",848
44,GCZ21.CMX,"Oct 27, 2020","1,937.00","1,937.00","1,898.10","1,905.90","1,905.90",330
45,GCZ21.CMX,"Oct 26, 2020","1,939.20","1,939.20","1,935.40","1,939.00","1,939.00",276
46,GCZ21.CMX,"Oct 25, 2020","1,929.50","1,935.50","1,926.10","1,933.00","1,933.00",55
47,GCZ21.CMX,"Oct 22, 2020","1,932.10","1,942.00","1,924.50","1,932.10","1,932.10",158
48,GCZ21.CMX,"Oct 21, 2020","1,950.00","1,950.00","1,928.10","1,931.10","1,931.10",161
49,GCZ21.CMX,"Oct 20, 2020","1,949.30","1,961.30","1,946.70","1,955.50","1,955.50",117
50,GCZ21.CMX,"Oct 19, 2020","1,935.80","1,941.60","1,928.50","1,941.60","1,941.60",54
51,GCZ21.CMX,"Oct 18, 2020","1,930.20","1,947.30","1,929.80","1,938.20","1,938.20",161
52,GCZ21.CMX,"Oct 15, 2020","1,939.20","1,939.80","1,930.10","1,933.40","1,933.40",50
53,GCZ21.CMX,"Oct 14, 2020","1,933.70","1,939.00","1,923.90","1,935.80","1,935.80",213
54,GCZ21.CMX,"Oct 13, 2020","1,923.20","1,939.00","1,914.20","1,935.00","1,935.00",79
55,GCZ21.CMX,"Oct 12, 2020","1,956.50","1,956.50","1,918.00","1,921.80","1,921.80",403
56,GCZ21.CMX,"Oct 11, 2020","1,961.00","1,963.90","1,953.00","1,955.80","1,955.80",238
57,GCZ21.CMX,"Oct 08, 2020","1,926.70","1,963.10","1,926.70","1,952.90","1,952.90",193
58,GCZ21.CMX,"Oct 07, 2020","1,916.50","1,927.10","1,913.10","1,922.10","1,922.10",238
59,GCZ21.CMX,"Oct 06, 2020","1,909.40","1,925.00","1,909.40","1,916.60","1,916.60",378
60,GCZ21.CMX,"Oct 05, 2020","1,940.00","1,942.20","1,933.40","1,933.40","1,933.40",155
61,GCZ21.CMX,"Oct 04, 2020","1,921.50","1,944.40","1,917.80","1,944.10","1,944.10",103
62,GCZ21.CMX,"Oct 01, 2020","1,937.50","1,940.10","1,920.90","1,931.50","1,931.50",88
63,GCZ21.CMX,"Sep 30, 2020","1,921.30","1,941.20","1,921.30","1,940.30","1,940.30",305
64,GCZ21.CMX,"Sep 29, 2020","1,927.50","1,927.50","1,913.90","1,919.80","1,919.80",223
65,GCZ21.CMX,"Sep 28, 2020","1,911.30","1,928.40","1,908.00","1,927.30","1,927.30",178
66,GCZ21.CMX,"Sep 27, 2020","1,891.90","1,911.30","1,875.00","1,906.30","1,906.30",148
67,GCZ21.CMX,"Sep 24, 2020","1,886.80","1,890.00","1,881.10","1,890.00","1,890.00",32
68,GCZ21.CMX,"Sep 23, 2020","1,888.00","1,902.00","1,875.00","1,900.20","1,900.20",216
69,GCZ21.CMX,"Sep 22, 2020","1,916.80","1,919.60","1,881.60","1,892.60","1,892.60",413
70,GCZ21.CMX,"Sep 21, 2020","1,944.90","1,949.60","1,929.30","1,933.40","1,933.40",69
71,GCZ21.CMX,"Sep 20, 2020","1,980.00","1,986.40","1,915.00","1,935.90","1,935.90",177
72,GCZ21.CMX,"Sep 17, 2020","1,980.60","1,988.50","1,977.10","1,987.80","1,987.80",21
73,GCZ21.CMX,"Sep 16, 2020","1,993.10","1,993.10","1,966.70","1,975.50","1,975.50",164
74,GCZ21.CMX,"Sep 15, 2020","1,989.60","2,004.00","1,989.60","1,997.20","1,997.20",33
75,GCZ21.CMX,"Sep 14, 2020","1,999.30","2,004.40","1,988.10","1,992.90","1,992.90",58
