symbol,date,open,high,low,close,adjusted Close,volume
GC=F,"Feb 24, 2021","1,805.80","1,805.80","1,796.40","1,796.40","1,796.40","1,500"
GC=F,"Feb 23, 2021","1,809.60","1,811.30","1,796.40","1,804.40","1,804.40",569
GC=F,"Feb 22, 2021","1,784.00","1,807.80","1,784.00","1,806.70","1,806.70",165
GC=F,"Feb 19, 2021","1,764.30","1,787.60","1,764.30","1,775.80","1,775.80",118
GC=F,"Feb 18, 2021","1,776.10","1,784.60","1,766.00","1,773.40","1,773.40",587
GC=F,"Feb 17, 2021","1,785.80","1,789.70","1,768.80","1,771.10","1,771.10",614
GC=F,"Feb 16, 2021","1,820.90","1,823.40","1,787.30","1,797.20","1,797.20","1,141"
GC=F,"Feb 12, 2021","1,825.00","1,827.50","1,809.20","1,821.60","1,821.60",259
GC=F,"Feb 11, 2021","1,840.50","1,845.00","1,820.90","1,824.90","1,824.90",602
GC=F,"Feb 10, 2021","1,842.60","1,851.10","1,837.00","1,840.60","1,840.60",543
GC=F,"Feb 09, 2021","1,841.90","1,843.30","1,830.70","1,835.30","1,835.30",184
GC=F,"Feb 08, 2021","1,816.30","1,836.70","1,809.00","1,831.90","1,831.90",254
GC=F,"Feb 05, 2021","1,794.30","1,813.50","1,790.90","1,810.90","1,810.90","1,278"
GC=F,"Feb 04, 2021","1,832.20","1,832.20","1,782.80","1,788.90","1,788.90","2,375"
GC=F,"Feb 03, 2021","1,834.80","1,842.40","1,829.80","1,832.20","1,832.20","1,195"
GC=F,"Feb 02, 2021","1,859.60","1,861.30","1,827.60","1,830.50","1,830.50","1,293"
GC=F,"Feb 01, 2021","1,866.60","1,871.90","1,850.00","1,860.80","1,860.80","1,494"
GC=F,"Jan 29, 2021","1,842.00","1,876.00","1,838.70","1,847.30","1,847.30","1,634"
GC=F,"Jan 28, 2021","1,843.40","1,862.90","1,831.50","1,837.90","1,837.90","27,283"
GC=F,"Jan 27, 2021","1,844.90","1,844.90","1,844.90","1,844.90","1,844.90","195,540"
GC=F,"Jan 26, 2021","1,855.80","1,855.80","1,850.70","1,850.70","1,850.70",59
GC=F,"Jan 25, 2021","1,864.70","1,864.70","1,851.80","1,854.90","1,854.90",26
GC=F,"Jan 22, 2021","1,854.90","1,855.70","1,852.70","1,855.70","1,855.70",8
GC=F,"Jan 21, 2021","1,865.30","1,868.00","1,865.30","1,865.30","1,865.30",6
GC=F,"Jan 20, 2021","1,847.80","1,866.60","1,844.40","1,865.90","1,865.90",16
GC=F,"Jan 19, 2021","1,802.00","1,842.90","1,802.00","1,839.50","1,839.50",13
GC=F,"Jan 15, 2021","1,829.40","1,829.40","1,825.00","1,829.30","1,829.30",31
GC=F,"Jan 14, 2021","1,836.70","1,850.70","1,836.70","1,850.30","1,850.30",149
GC=F,"Jan 13, 2021","1,858.00","1,858.60","1,853.60","1,853.60","1,853.60",189
GC=F,"Jan 12, 2021","1,849.00","1,859.70","1,839.40","1,842.90","1,842.90",176
GC=F,"Jan 11, 2021","1,826.50","1,849.60","1,826.50","1,849.60","1,849.60",20
GC=F,"Jan 08, 2021","1,908.00","1,908.00","1,834.10","1,834.10","1,834.10",60
GC=F,"Jan 07, 2021","1,922.60","1,926.70","1,912.00","1,912.30","1,912.30",122
GC=F,"Jan 06, 2021","1,952.00","1,959.90","1,901.50","1,906.90","1,906.90",331
GC=F,"Jan 05, 2021","1,941.70","1,952.70","1,941.30","1,952.70","1,952.70",113
GC=F,"Jan 04, 2021","1,912.20","1,945.10","1,912.20","1,944.70","1,944.70",154
GC=F,"Dec 31, 2020","1,897.00","1,901.30","1,892.70","1,893.10","1,893.10",127
GC=F,"Dec 30, 2020","1,879.90","1,895.80","1,877.30","1,891.00","1,891.00",444
GC=F,"Dec 29, 2020","1,881.30","1,881.30","1,879.70","1,879.70","1,879.70",343
GC=F,"Dec 28, 2020","1,895.50","1,895.80","1,873.70","1,877.20","1,877.20",75
GC=F,"Dec 24, 2020","1,877.30","1,879.90","1,875.70","1,879.90","1,879.90",46
GC=F,"Dec 23, 2020","1,867.00","1,878.80","1,864.50","1,874.70","1,874.70",82
GC=F,"Dec 22, 2020","1,882.20","1,882.20","1,861.00","1,866.60","1,866.60",233
GC=F,"Dec 21, 2020","1,884.80","1,908.00","1,869.10","1,879.20","1,879.20",136
GC=F,"Dec 18, 2020","1,882.40","1,889.50","1,882.30","1,885.70","1,885.70",276
GC=F,"Dec 17, 2020","1,874.20","1,896.20","1,874.20","1,887.20","1,887.20",414
GC=F,"Dec 16, 2020","1,856.50","1,864.70","1,850.50","1,856.10","1,856.10","1,090"
GC=F,"Dec 15, 2020","1,833.50","1,853.60","1,833.20","1,852.30","1,852.30",961
GC=F,"Dec 14, 2020","1,835.50","1,835.70","1,822.70","1,828.70","1,828.70",258
GC=F,"Dec 11, 2020","1,838.50","1,846.00","1,829.10","1,839.80","1,839.80",109
GC=F,"Dec 10, 2020","1,833.20","1,849.10","1,828.00","1,833.60","1,833.60",177
GC=F,"Dec 09, 2020","1,867.10","1,867.10","1,827.00","1,834.60","1,834.60",215
GC=F,"Dec 08, 2020","1,863.00","1,875.80","1,861.80","1,870.80","1,870.80",121
GC=F,"Dec 07, 2020","1,836.50","1,866.90","1,820.80","1,861.80","1,861.80","1,427"
GC=F,"Dec 04, 2020","1,840.70","1,847.60","1,828.20","1,835.90","1,835.90","1,213"
GC=F,"Dec 03, 2020","1,829.20","1,842.00","1,825.30","1,836.80","1,836.80","1,765"
GC=F,"Dec 02, 2020","1,811.30","1,830.00","1,807.80","1,825.70","1,825.70",771
GC=F,"Dec 01, 2020","1,775.00","1,815.90","1,774.90","1,814.10","1,814.10","1,859"
GC=F,"Nov 30, 2020","1,785.00","1,787.20","1,762.30","1,775.70","1,775.70","3,145"
GC=F,"Nov 27, 2020","1,806.10","1,817.00","1,770.70","1,781.90","1,781.90","71,804"
GC=F,"Nov 25, 2020","1,801.40","1,805.70","1,801.40","1,805.70","1,805.70","205,754"
GC=F,"Nov 24, 2020","1,829.30","1,829.30","1,799.30","1,804.80","1,804.80","1,041"
GC=F,"Nov 23, 2020","1,834.80","1,837.80","1,829.20","1,837.80","1,837.80",843
GC=F,"Nov 20, 2020","1,871.20","1,872.60","1,871.20","1,872.60","1,872.60","1,900"
GC=F,"Nov 19, 2020","1,865.80","1,865.80","1,856.00","1,861.10","1,861.10",59
GC=F,"Nov 18, 2020","1,873.50","1,873.50","1,873.50","1,873.50","1,873.50",152
GC=F,"Nov 17, 2020","1,888.40","1,888.40","1,884.50","1,884.50","1,884.50",59
GC=F,"Nov 16, 2020","1,874.60","1,887.30","1,871.00","1,887.30","1,887.30",6
GC=F,"Nov 13, 2020","1,877.00","1,890.10","1,876.80","1,885.70","1,885.70",240
GC=F,"Nov 12, 2020","1,869.00","1,878.50","1,866.60","1,872.60","1,872.60",220
GC=F,"Nov 11, 2020","1,878.80","1,878.80","1,855.50","1,860.70","1,860.70",222
GC=F,"Nov 10, 2020","1,879.30","1,885.30","1,871.20","1,875.40","1,875.40",276
GC=F,"Nov 09, 2020","1,955.60","1,963.20","1,847.10","1,853.20","1,853.20",745
GC=F,"Nov 06, 2020","1,940.80","1,958.80","1,940.80","1,950.30","1,950.30",304
GC=F,"Nov 05, 2020","1,901.70","1,948.00","1,901.70","1,945.30","1,945.30",135
GC=F,"Nov 04, 2020","1,893.80","1,907.00","1,885.30","1,894.60","1,894.60",782
GC=F,"Nov 03, 2020","1,891.50","1,908.50","1,891.50","1,908.50","1,908.50",712
GC=F,"Nov 02, 2020","1,872.90","1,894.70","1,872.90","1,890.40","1,890.40",190
GC=F,"Oct 29, 2020","1,862.80","1,886.60","1,862.80","1,877.40","1,877.40",725
GC=F,"Oct 28, 2020","1,876.10","1,879.80","1,858.80","1,865.60","1,865.60",240
GC=F,"Oct 27, 2020","1,870.90","1,876.20","1,870.90","1,876.20","1,876.20",277
GC=F,"Oct 26, 2020","1,904.60","1,908.80","1,904.40","1,908.80","1,908.80",176
GC=F,"Oct 25, 2020","1,895.50","1,907.00","1,893.50","1,902.70","1,902.70",242
GC=F,"Oct 22, 2020","1,899.90","1,913.30","1,896.20","1,902.00","1,902.00",287
GC=F,"Oct 21, 2020","1,924.30","1,924.30","1,898.20","1,901.10","1,901.10",899
GC=F,"Oct 20, 2020","1,913.60","1,927.30","1,913.60","1,924.60","1,924.60","1,202"
GC=F,"Oct 19, 2020","1,901.30","1,910.40","1,896.10","1,910.40","1,910.40",329
GC=F,"Oct 18, 2020","1,907.30","1,907.80","1,899.50","1,906.40","1,906.40",43
GC=F,"Oct 15, 2020","1,898.50","1,900.80","1,898.50","1,900.80","1,900.80",53
GC=F,"Oct 14, 2020","1,897.30","1,906.30","1,889.60","1,903.20","1,903.20",254
GC=F,"Oct 13, 2020","1,889.70","1,910.80","1,882.50","1,901.30","1,901.30",33
GC=F,"Oct 12, 2020","1,921.90","1,922.20","1,887.00","1,888.50","1,888.50",191
GC=F,"Oct 11, 2020","1,924.00","1,926.50","1,921.60","1,922.50","1,922.50",96
GC=F,"Oct 08, 2020","1,909.30","1,929.10","1,905.10","1,919.50","1,919.50",580
GC=F,"Oct 07, 2020","1,893.00","1,893.00","1,882.70","1,888.60","1,888.60",348
GC=F,"Oct 06, 2020","1,874.10","1,889.80","1,873.10","1,883.60","1,883.60",50
symbol,date,open,high,low,close,adjusted Close,volume
GC=F,"Oct 05, 2020","1,906.60","1,918.00","1,874.40","1,901.10","1,901.10",968
GC=F,"Oct 04, 2020","1,898.90","1,915.60","1,884.70","1,912.50","1,912.50","1,360"
GC=F,"Oct 01, 2020","1,893.90","1,913.00","1,893.90","1,900.20","1,900.20",530
GC=F,"Sep 30, 2020","1,884.10","1,909.60","1,882.50","1,908.40","1,908.40",730
GC=F,"Sep 29, 2020","1,893.00","1,899.70","1,879.80","1,887.50","1,887.50",600
GC=F,"Sep 28, 2020","1,876.50","1,895.40","1,872.40","1,894.30","1,894.30","3,283"
GC=F,"Sep 27, 2020","1,872.80","1,872.80","1,872.80","1,872.80","1,872.80","10,455"
GC=F,"Sep 24, 2020","1,856.30","1,857.70","1,856.30","1,857.70","1,857.70",4
GC=F,"Sep 23, 2020","1,851.50","1,868.30","1,851.50","1,868.30","1,868.30",365
GC=F,"Sep 22, 2020","1,875.50","1,875.50","1,859.90","1,859.90","1,859.90",5
GC=F,"Sep 21, 2020","1,913.10","1,913.10","1,898.60","1,898.60","1,898.60",331
GC=F,"Sep 20, 2020","1,946.20","1,946.20","1,883.40","1,901.20","1,901.20",52
GC=F,"Sep 17, 2020","1,950.50","1,952.10","1,949.00","1,952.10","1,952.10",38
GC=F,"Sep 16, 2020","1,939.00","1,946.00","1,933.70","1,940.00","1,940.00",67
GC=F,"Sep 15, 2020","1,961.30","1,961.40","1,956.70","1,960.20","1,960.20",124
GC=F,"Sep 14, 2020","1,955.80","1,968.50","1,955.80","1,956.30","1,956.30",74
GC=F,"Sep 13, 2020","1,946.30","1,953.10","1,943.00","1,953.10","1,953.10",55
GC=F,"Sep 10, 2020","1,944.00","1,949.50","1,937.80","1,937.80","1,937.80",73
GC=F,"Sep 09, 2020","1,944.10","1,962.70","1,944.10","1,954.20","1,954.20",722
GC=F,"Sep 08, 2020","1,926.90","1,946.20","1,924.60","1,944.70","1,944.70",219
GC=F,"Sep 07, 2020","1,930.90","1,937.90","1,903.10","1,933.00","1,933.00",271
GC=F,"Sep 03, 2020","1,927.90","1,939.70","1,917.70","1,923.90","1,923.90",607
GC=F,"Sep 02, 2020","1,937.10","1,938.80","1,923.00","1,927.60","1,927.60",179
GC=F,"Sep 01, 2020","1,967.30","1,967.30","1,934.40","1,934.40","1,934.40",71
GC=F,"Aug 31, 2020","1,961.70","1,986.30","1,961.70","1,968.20","1,968.20",186
GC=F,"Aug 30, 2020","1,970.00","1,971.30","1,953.30","1,967.60","1,967.60",158
GC=F,"Aug 27, 2020","1,927.10","1,971.30","1,922.50","1,964.60","1,964.60",778
GC=F,"Aug 26, 2020","1,948.90","1,972.50","1,921.60","1,921.60","1,921.60","2,303"
GC=F,"Aug 25, 2020","1,909.70","1,950.80","1,909.70","1,940.70","1,940.70",287
GC=F,"Aug 24, 2020","1,927.50","1,928.50","1,911.80","1,911.80","1,911.80",176
GC=F,"Aug 23, 2020","1,930.20","1,940.00","1,922.20","1,927.70","1,927.70",85
GC=F,"Aug 20, 2020","1,941.00","1,945.00","1,908.90","1,934.60","1,934.60",184
GC=F,"Aug 19, 2020","1,941.20","1,948.30","1,922.30","1,933.80","1,933.80",106
GC=F,"Aug 18, 2020","1,980.00","1,980.00","1,938.70","1,958.70","1,958.70",347
GC=F,"Aug 17, 2020","2,001.10","2,002.80","1,972.10","1,999.40","1,999.40",92
GC=F,"Aug 16, 2020","1,949.60","1,985.00","1,949.60","1,985.00","1,985.00",97
GC=F,"Aug 13, 2020","1,938.70","1,947.40","1,937.00","1,937.00","1,937.00",201
GC=F,"Aug 12, 2020","1,921.50","1,957.40","1,916.90","1,956.70","1,956.70",71
GC=F,"Aug 11, 2020","1,923.00","1,946.60","1,871.60","1,934.90","1,934.90",404
