symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Nov 14, 2019",57.39,57.79,56.63,56.77,56.77,"516,832"
CL=F,"Nov 13, 2019",56.79,57.53,56.20,57.12,57.12,"547,635"
CL=F,"Nov 12, 2019",56.89,57.55,56.54,56.80,56.80,"586,568"
CL=F,"Nov 11, 2019",57.40,57.40,56.25,56.86,56.86,"498,981"
CL=F,"Nov 08, 2019",57.08,57.48,55.76,57.24,57.24,"636,941"
CL=F,"Nov 07, 2019",56.35,57.88,56.27,57.15,57.15,"678,165"
CL=F,"Nov 06, 2019",57.26,57.85,56.11,56.35,56.35,"623,258"
CL=F,"Nov 05, 2019",56.56,57.50,56.30,57.23,57.23,"435,319"
CL=F,"Nov 04, 2019",56.41,57.43,55.83,56.54,56.54,"580,350"
CL=F,"Oct 31, 2019",54.15,56.33,54.07,56.20,56.20,"538,117"
CL=F,"Oct 30, 2019",54.90,55.59,53.71,54.18,54.18,"677,419"
CL=F,"Oct 29, 2019",55.53,55.73,54.42,55.06,55.06,"659,328"
CL=F,"Oct 28, 2019",55.80,55.91,54.61,55.54,55.54,"521,457"
CL=F,"Oct 27, 2019",56.65,56.92,55.58,55.81,55.81,"437,020"
CL=F,"Oct 24, 2019",56.07,56.74,55.60,56.66,56.66,"445,020"
CL=F,"Oct 23, 2019",55.90,56.51,55.41,56.23,56.23,"480,764"
CL=F,"Oct 22, 2019",54.30,56.07,53.62,55.97,55.97,"620,202"
CL=F,"Oct 21, 2019",53.39,54.62,53.10,54.16,54.16,"506,573"
CL=F,"Oct 20, 2019",53.71,54.03,52.71,53.31,53.31,"95,979"
CL=F,"Oct 17, 2019",54.09,54.62,53.35,53.78,53.78,"174,477"
CL=F,"Oct 16, 2019",52.99,54.16,52.62,53.93,53.93,"418,422"
CL=F,"Oct 15, 2019",52.92,53.74,52.52,53.36,53.36,"451,643"
CL=F,"Oct 14, 2019",53.51,53.79,52.39,52.81,52.81,"511,249"
CL=F,"Oct 13, 2019",54.90,54.90,52.77,53.59,53.59,"467,643"
CL=F,"Oct 10, 2019",53.88,54.93,53.64,54.70,54.70,"467,643"
CL=F,"Oct 09, 2019",52.69,53.97,51.38,53.55,53.55,"613,944"
CL=F,"Oct 08, 2019",52.57,53.74,52.31,52.59,52.59,"632,666"
CL=F,"Oct 07, 2019",52.81,53.27,51.81,52.63,52.63,"658,324"
CL=F,"Oct 06, 2019",52.69,54.06,52.59,52.75,52.75,"549,019"
CL=F,"Oct 03, 2019",52.29,53.35,52.04,52.81,52.81,"541,104"
CL=F,"Oct 02, 2019",52.47,52.91,50.99,52.45,52.45,"642,466"
CL=F,"Oct 01, 2019",54.00,54.42,52.17,52.64,52.64,"590,306"
CL=F,"Sep 30, 2019",54.28,54.84,53.05,53.62,53.62,"589,176"
CL=F,"Sep 29, 2019",56.54,56.57,53.98,54.07,54.07,"532,522"
CL=F,"Sep 26, 2019",56.51,56.76,54.75,55.91,55.91,"712,966"
CL=F,"Sep 25, 2019",56.69,56.84,55.41,56.41,56.41,"599,653"
CL=F,"Sep 24, 2019",56.70,57.02,55.55,56.49,56.49,"563,550"
CL=F,"Sep 23, 2019",58.44,58.49,56.69,57.29,57.29,"591,529"
CL=F,"Sep 22, 2019",59.25,59.39,57.37,58.64,58.64,"526,785"
CL=F,"Sep 19, 2019",58.65,59.10,57.79,58.09,58.09,"576,019"
CL=F,"Sep 18, 2019",58.20,59.54,58.01,58.13,58.13,"112,327"
CL=F,"Sep 17, 2019",58.81,59.43,57.67,58.11,58.11,"216,961"
CL=F,"Sep 16, 2019",61.96,62.59,58.46,59.34,59.34,"993,237"
CL=F,"Sep 15, 2019",61.48,63.38,58.77,62.90,62.90,"1,404,916"
CL=F,"Sep 12, 2019",55.15,55.68,54.44,54.85,54.85,"599,470"
CL=F,"Sep 11, 2019",55.93,56.34,54.00,55.09,55.09,"845,977"
CL=F,"Sep 10, 2019",57.89,58.30,55.61,55.75,55.75,"858,772"
CL=F,"Sep 09, 2019",58.03,58.76,57.20,57.40,57.40,"755,472"
CL=F,"Sep 08, 2019",56.80,58.16,56.58,57.85,57.85,"646,993"
CL=F,"Sep 05, 2019",56.19,56.95,54.83,56.52,56.52,"714,294"
CL=F,"Sep 04, 2019",55.95,57.76,55.75,56.30,56.30,"712,466"
CL=F,"Sep 03, 2019",53.92,56.58,53.84,56.26,56.26,"682,298"
CL=F,"Sep 02, 2019",55.00,55.24,52.84,53.94,53.94,"970,804"
CL=F,"Aug 29, 2019",56.63,56.72,54.55,55.10,55.10,"708,268"
CL=F,"Aug 28, 2019",55.88,56.89,55.43,56.71,56.71,"630,760"
CL=F,"Aug 27, 2019",55.71,56.75,55.34,55.78,55.78,"674,048"
CL=F,"Aug 26, 2019",53.76,55.72,53.69,54.93,54.93,"596,624"
CL=F,"Aug 25, 2019",53.25,55.26,52.96,53.64,53.64,"679,022"
CL=F,"Aug 22, 2019",55.35,55.60,53.24,54.17,54.17,"807,151"
CL=F,"Aug 21, 2019",55.94,56.46,54.85,55.35,55.35,"621,573"
CL=F,"Aug 20, 2019",56.05,57.13,55.55,55.68,55.68,"704,035"
CL=F,"Aug 19, 2019",56.10,56.60,55.28,56.34,56.34,"659,258"
CL=F,"Aug 18, 2019",54.96,56.41,54.84,56.21,56.21,"113,571"
CL=F,"Aug 15, 2019",54.74,55.67,54.26,54.87,54.87,"168,345"
CL=F,"Aug 14, 2019",54.90,55.33,53.77,54.47,54.47,"527,866"
CL=F,"Aug 13, 2019",56.74,56.85,53.97,55.23,55.23,"718,293"
CL=F,"Aug 12, 2019",54.73,57.47,54.21,57.10,57.10,"783,486"
CL=F,"Aug 11, 2019",54.32,55.18,53.54,54.93,54.93,"611,027"
symbol,date,open,high,low,close,adjusted Close,volume
CL=F,"Aug 08, 2019",52.88,54.92,52.37,54.50,54.50,"726,386"
CL=F,"Aug 07, 2019",52.33,53.06,51.94,52.54,52.54,"724,762"
CL=F,"Aug 06, 2019",53.42,53.77,50.52,51.09,51.09,"1,063,214"
CL=F,"Aug 05, 2019",54.95,55.42,53.29,53.63,53.63,"682,794"
CL=F,"Aug 04, 2019",55.38,55.61,54.22,54.69,54.69,"823,844"
CL=F,"Aug 01, 2019",54.54,56.05,54.15,55.66,55.66,"739,810"
CL=F,"Jul 31, 2019",57.85,57.99,53.59,53.95,53.95,"886,748"
CL=F,"Jul 30, 2019",58.34,58.82,57.81,58.58,58.58,"614,001"
CL=F,"Jul 29, 2019",57.07,58.47,56.96,58.05,58.05,"547,401"
CL=F,"Jul 28, 2019",56.20,57.10,55.81,56.87,56.87,"529,742"
CL=F,"Jul 25, 2019",55.93,56.57,55.68,56.20,56.20,"476,785"
CL=F,"Jul 24, 2019",55.90,56.99,55.81,56.02,56.02,"559,282"
CL=F,"Jul 23, 2019",57.23,57.64,55.33,55.88,55.88,"745,248"
CL=F,"Jul 22, 2019",56.17,57.47,55.74,56.77,56.77,"521,876"
CL=F,"Jul 21, 2019",56.22,56.84,55.72,56.22,56.22,"619,483"
CL=F,"Jul 18, 2019",55.72,56.36,54.99,55.63,55.63,"105,217"
CL=F,"Jul 17, 2019",56.60,57.32,54.72,55.30,55.30,"215,361"
CL=F,"Jul 16, 2019",57.52,58.36,56.21,56.78,56.78,"504,432"
CL=F,"Jul 15, 2019",59.26,60.06,57.07,57.62,57.62,"712,540"
CL=F,"Jul 14, 2019",60.25,60.92,59.20,59.58,59.58,"566,818"
CL=F,"Jul 11, 2019",60.46,60.74,59.93,60.21,60.21,"469,029"
CL=F,"Jul 10, 2019",60.44,60.94,60.14,60.20,60.20,"573,019"
CL=F,"Jul 09, 2019",58.40,60.53,58.35,60.43,60.43,"690,656"
CL=F,"Jul 08, 2019",57.56,59.10,57.29,57.83,57.83,"551,872"
CL=F,"Jul 07, 2019",57.77,58.46,57.30,57.66,57.66,"540,861"
CL=F,"Jul 04, 2019",57.38,57.82,56.29,57.51,57.51,"698,015"
CL=F,"Jul 03, 2019",56.49,57.48,56.04,57.34,57.34,"600,131"
CL=F,"Jul 01, 2019",59.14,59.43,56.09,56.25,56.25,"878,938"
CL=F,"Jun 30, 2019",59.27,60.28,58.34,59.09,59.09,"674,887"
CL=F,"Jun 27, 2019",59.22,59.80,57.75,58.47,58.47,"556,101"
CL=F,"Jun 26, 2019",59.27,59.73,58.61,59.43,59.43,"531,405"
CL=F,"Jun 25, 2019",58.84,59.93,58.65,59.38,59.38,"686,817"
CL=F,"Jun 24, 2019",57.74,58.84,57.20,57.83,57.83,"673,140"
CL=F,"Jun 23, 2019",57.72,58.22,56.75,57.90,57.90,"597,164"
CL=F,"Jun 20, 2019",57.26,57.98,56.66,57.43,57.43,"676,047"
CL=F,"Jun 19, 2019",54.12,57.02,54.11,56.65,56.65,"854,514"
CL=F,"Jun 18, 2019",54.09,54.42,53.28,53.76,53.76,"122,838"
CL=F,"Jun 17, 2019",51.95,54.31,51.50,53.90,53.90,"181,640"
CL=F,"Jun 16, 2019",52.50,52.74,51.58,51.93,51.93,"397,868"
CL=F,"Jun 13, 2019",52.18,52.98,51.70,52.51,52.51,"574,229"
CL=F,"Jun 12, 2019",51.07,53.45,50.92,52.28,52.28,"945,024"
CL=F,"Jun 11, 2019",53.04,53.05,50.72,51.14,51.14,"786,105"
