date,market_cap,close,%_close,gain/loss
2020-12-22,424329939582.0,23795.0,4.177,954.0
2020-12-23,441752551013.0,23308.0,-2.047,-487.0
2020-12-24,433051601801.0,23760.0,1.939,452.0
2020-12-25,441614502954.0,24671.0,3.834,911.0
2020-12-26,458416319552.0,26476.0,7.316,1805.0
2020-12-27,491978602970.0,26423.0,-0.2,-53.0
2020-12-28,493427450341.0,27125.0,2.657,702.0
2020-12-29,503712223154.0,27425.0,1.106,300.0
2020-12-30,509680257177.0,28837.0,5.149,1412.0
2020-12-31,535967306918.0,29022.0,0.642,185.0
2021-01-01,539438036436.0,29352.0,1.137,330.0
2021-01-02,545593282215.0,32164.0,9.58,2812.0
2021-01-03,597887713054.0,33008.0,2.624,844.0
2021-01-04,613616917626.0,31516.0,-4.52,-1492.0
2021-01-05,585726270249.0,34082.0,8.142,2566.0
2021-01-06,633651671519.0,36934.0,8.368,2852.0
2021-01-07,682743683563.0,39547.0,7.075,2613.0
2021-01-08,735339707368.0,40816.0,3.209,1269.0
2021-01-09,758971014787.0,40297.0,-1.272,-519.0
2021-01-10,749347201463.0,38398.0,-4.713,-1899.0
2021-01-11,714078952009.0,35670.0,-7.105,-2728.0
2021-01-12,663380898829.0,33938.0,-4.856,-1732.0
2021-01-13,629751630408.0,37456.0,10.366,3518.0
2021-01-14,696668634091.0,39233.0,4.744,1777.0
2021-01-15,729751433670.0,36788.0,-6.232,-2445.0
2021-01-16,684304915288.0,36255.0,-1.449,-533.0
2021-01-17,674660879866.0,35804.0,-1.244,-451.0
2021-01-18,672291934493.0,36595.0,2.209,791.0
2021-01-19,682647247200.0,36105.0,-1.339,-490.0
2021-01-20,671734819189.0,35587.0,-1.435,-518.0
2021-01-21,662434464441.0,30914.0,-13.131,-4673.0
2021-01-22,575205510268.0,32958.0,6.612,2044.0
2021-01-23,613271077002.0,32068.0,-2.7,-890.0
2021-01-24,596744391345.0,32274.0,0.642,206.0
2021-01-25,600595408892.0,32375.0,0.313,101.0
2021-01-26,602517850752.0,32582.0,0.639,207.0
2021-01-27,606573549810.0,30446.0,-6.556,-2136.0
2021-01-28,566661443732.0,33128.0,8.809,2682.0
2021-01-29,616625386428.0,34151.0,3.088,1023.0
2021-01-30,635688668064.0,34200.0,0.143,49.0
2021-01-31,636624676861.0,33065.0,-3.319,-1135.0
2021-02-01,615013848827.0,33406.0,1.031,341.0
2021-02-02,621908231690.0,35486.0,6.226,2080.0
2021-02-03,660664104637.0,37495.0,5.661,2009.0
2021-02-04,695794870716.0,36817.0,-1.808,-678.0
2021-02-05,686453802173.0,38008.0,3.235,1191.0
2021-02-06,706320162929.0,39279.0,3.344,1271.0
2021-02-07,732453192637.0,38833.0,-1.135,-446.0
2021-02-08,723434796638.0,46308.0,19.249,7475.0
2021-02-09,862413737411.0,46570.0,0.566,262.0
2021-02-10,867164581003.0,44849.0,-3.696,-1721.0
2021-02-11,839561451461.0,47816.0,6.616,2967.0
2021-02-12,890629045244.0,47414.0,-0.841,-402.0
2021-02-13,880620921496.0,46941.0,-0.998,-473.0
2021-02-14,874425017687.0,48608.0,3.551,1667.0
2021-02-15,905515462577.0,47898.0,-1.461,-710.0
2021-02-16,892345220938.0,49238.0,2.798,1340.0
2021-02-17,917339726315.0,52144.0,5.902,2906.0
2021-02-18,971516568848.0,51733.0,-0.788,-411.0
2021-02-19,963911356673.0,56039.0,8.324,4306.0
2021-02-20,1044189900352.0,56378.0,0.605,339.0
2021-02-21,1050555931433.0,57669.0,2.29,1291.0
2021-02-22,1075380337358.0,54411.0,-5.649,-3258.0
2021-02-23,1012091985973.0,48692.0,-10.511,-5719.0
